Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Frank Jackson,DET,vs.UTA,01/10/2021,L,12,3,1,5,20.0,1,4,25.0,0,0,-,0,4,4,3,0,0,1,0,-1
Svi Mykhailiuk,DET,vs.UTA,01/10/2021,L,15,3,1,9,11.1,1,8,12.5,0,0,-,0,0,0,0,2,1,0,0,-9
Isaiah Stewart,DET,vs.UTA,01/10/2021,L,14,2,1,3,33.3,0,0,-,0,0,-,3,1,4,1,1,0,0,4,7
Jordan Clarkson,UTA,@DET,01/10/2021,W,25,18,7,15,46.7,3,7,42.9,1,1,100,2,2,4,0,0,0,2,1,0
Delon Wright,DET,vs.UTA,01/10/2021,L,36,6,2,9,22.2,0,1,0.0,2,2,100,1,4,5,3,2,2,0,0,-9
Blake Griffin,DET,vs.UTA,01/10/2021,L,33,10,4,12,33.3,1,7,14.3,1,3,33.3,1,5,6,5,0,0,1,2,-7
Saddiq Bey,DET,vs.UTA,01/10/2021,L,27,12,3,9,33.3,2,6,33.3,4,4,100,2,1,3,1,0,0,0,4,-10
Mason Plumlee,DET,vs.UTA,01/10/2021,L,26,6,3,5,60.0,0,0,-,0,0,-,3,5,8,3,2,1,1,6,-5
Khris Middleton,MIL,vs.CLE,01/09/2021,W,35,27,10,16,62.5,3,6,50.0,4,4,100,1,4,5,6,1,1,3,3,19
Isaac Okoro,CLE,@MIL,01/09/2021,L,34,4,2,9,22.2,0,1,0.0,0,4,0.0,0,2,2,1,0,0,1,4,-22
Jrue Holiday,MIL,vs.CLE,01/09/2021,W,36,15,5,12,41.7,0,2,0.0,5,7,71.4,1,5,6,4,4,1,2,4,10
Cedi Osman,CLE,@MIL,01/09/2021,L,31,9,4,13,30.8,1,8,12.5,0,0,-,2,3,5,2,0,0,5,4,-5
Dean Wade,CLE,@MIL,01/09/2021,L,15,7,3,3,100,1,1,100,0,0,-,0,3,3,0,0,0,0,0,5
Lamar Stevens,CLE,@MIL,01/09/2021,L,12,0,0,1,0.0,0,1,0.0,0,0,-,1,0,1,0,0,0,0,1,-14
Thanasis Antetokounmpo,MIL,vs.CLE,01/09/2021,W,12,0,0,0,-,0,0,-,0,0,-,0,2,2,2,0,0,2,1,0
Bobby Portis,MIL,vs.CLE,01/09/2021,W,33,17,7,11,63.6,1,2,50.0,2,3,66.7,3,8,11,3,4,0,5,2,6
Donte DiVincenzo,MIL,vs.CLE,01/09/2021,W,27,11,3,10,30.0,3,8,37.5,2,2,100,0,4,4,4,2,0,1,0,-3
D.J. Augustin,MIL,vs.CLE,01/09/2021,W,20,5,2,7,28.6,1,4,25.0,0,0,-,2,0,2,5,0,0,1,0,7
Brook Lopez,MIL,vs.CLE,01/09/2021,W,35,7,3,11,27.3,0,5,0.0,1,2,50.0,2,6,8,0,0,2,0,3,14
JaVale McGee,CLE,@MIL,01/09/2021,L,17,4,1,6,16.7,0,0,-,2,2,100,4,1,5,0,0,0,0,1,-2
Andre Drummond,CLE,@MIL,01/09/2021,L,41,26,11,23,47.8,0,1,0.0,4,5,80.0,5,19,24,3,1,1,6,4,-2
Pat Connaughton,MIL,vs.CLE,01/09/2021,W,11,6,2,5,40.0,2,3,66.7,0,0,-,1,3,4,0,0,0,0,1,2
Thon Maker,CLE,@MIL,01/09/2021,L,10,2,1,4,25.0,0,1,0.0,0,0,-,2,0,2,0,0,1,0,1,1
Larry Nance Jr.,CLE,@MIL,01/09/2021,L,40,17,6,11,54.5,3,6,50.0,2,2,100,0,3,3,2,4,1,3,2,-9
Damyean Dotson,CLE,@MIL,01/09/2021,L,41,21,8,17,47.1,2,7,28.6,3,3,100,0,2,2,8,1,1,0,1,-2
D.J. Wilson,MIL,vs.CLE,01/09/2021,W,16,12,5,9,55.6,2,3,66.7,0,0,-,1,2,3,1,0,0,1,0,0
Bryn Forbes,MIL,vs.CLE,01/09/2021,W,14,0,0,3,0.0,0,3,0.0,0,0,-,0,0,0,0,0,0,0,0,-5
Zeke Nnaji,DEN,@PHI,01/09/2021,W,2,2,1,3,33.3,0,1,0.0,0,0,-,1,0,1,0,0,0,0,0,-8
Markus Howard,DEN,@PHI,01/09/2021,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-8
Facundo Campazzo,DEN,@PHI,01/09/2021,W,17,3,1,4,25.0,1,4,25.0,0,0,-,0,2,2,2,0,0,1,1,2
Dwight Howard,PHI,vs.DEN,01/09/2021,L,24,11,4,6,66.7,1,2,50.0,2,2,100,4,7,11,2,0,0,4,5,-22
Danny Green,PHI,vs.DEN,01/09/2021,L,36,11,4,17,23.5,2,7,28.6,1,3,33.3,1,2,3,5,2,1,3,4,-14
Tony Bradley,PHI,vs.DEN,01/09/2021,L,24,11,5,7,71.4,0,1,0.0,1,2,50.0,5,10,15,1,1,1,1,2,10
Dakota Mathias,PHI,vs.DEN,01/09/2021,L,41,12,5,13,38.5,2,5,40.0,0,1,0.0,1,0,1,5,1,1,1,3,-26
Tyrese Maxey,PHI,vs.DEN,01/09/2021,L,44,39,18,33,54.5,3,8,37.5,0,0,-,1,6,7,6,2,0,2,3,-19
Paul Reed,PHI,vs.DEN,01/09/2021,L,26,6,3,9,33.3,0,1,0.0,0,0,-,6,1,7,2,1,1,4,1,10
Isaiah Joe,PHI,vs.DEN,01/09/2021,L,45,13,4,18,22.2,3,11,27.3,2,2,100,2,2,4,2,1,0,1,1,-14
R.J. Hampton,DEN,@PHI,01/09/2021,W,5,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-8
Bol Bol,DEN,@PHI,01/09/2021,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-8
Vlatko Cancar,DEN,@PHI,01/09/2021,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,1,1,0,0,-8
Monte Morris,DEN,@PHI,01/09/2021,W,22,12,5,10,50.0,0,2,0.0,2,2,100,0,2,2,4,1,1,0,1,8
PJ Dozier,DEN,@PHI,01/09/2021,W,19,5,2,5,40.0,1,2,50.0,0,0,-,3,5,8,1,0,1,1,3,2
Isaiah Hartenstein,DEN,@PHI,01/09/2021,W,15,6,3,5,60.0,0,0,-,0,0,-,4,1,5,0,2,2,2,1,3
