Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Deyonta Davis,MEM,@OKC,04/11/2018,L,29,6,3,8,37.5,0,0,-,0,1,0.0,1,7,8,2,1,1,2,2,-5
Paul George,OKC,vs.MEM,04/11/2018,W,34,40,13,20,65.0,8,14,57.1,6,8,75.0,1,3,4,2,2,1,2,3,15
Dillon Brooks,MEM,@OKC,04/11/2018,L,33,36,14,22,63.6,3,7,42.9,5,5,100,1,6,7,1,2,0,2,2,0
MarShon Brooks,MEM,@OKC,04/11/2018,L,23,9,3,10,30.0,1,2,50.0,2,3,66.7,1,2,3,2,2,0,3,0,-4
Omari Johnson,MEM,@OKC,04/11/2018,L,25,13,5,8,62.5,3,5,60.0,0,0,-,0,4,4,4,1,0,1,3,-5
Dakari Johnson,OKC,vs.MEM,04/11/2018,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Myke Henry,MEM,@OKC,04/11/2018,L,13,5,2,3,66.7,1,2,50.0,0,0,-,0,1,1,0,1,0,0,2,-7
Patrick Patterson,OKC,vs.MEM,04/11/2018,W,12,3,1,2,50.0,1,2,50.0,0,0,-,0,2,2,2,0,0,1,2,1
Ivan Rabb,MEM,@OKC,04/11/2018,L,32,12,5,12,41.7,0,0,-,2,2,100,5,8,13,4,1,0,0,5,-14
Daniel Hamilton,OKC,vs.MEM,04/11/2018,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,2,-3
Karl-Anthony Towns,MIN,vs.DEN,04/11/2018,W,47,26,12,19,63.2,0,0,-,2,2,100,4,10,14,2,1,0,0,4,1
Jamal Murray,DEN,@MIN,04/11/2018,L,43,20,8,18,44.4,2,7,28.6,2,4,50.0,3,3,6,6,1,0,1,3,-5
Gary Harris,DEN,@MIN,04/11/2018,L,21,10,4,10,40.0,1,3,33.3,1,2,50.0,0,1,1,1,0,0,1,0,-18
Taj Gibson,MIN,vs.DEN,04/11/2018,W,35,8,4,8,50.0,0,0,-,0,0,-,0,6,6,0,2,1,1,5,-4
Torrey Craig,DEN,@MIN,04/11/2018,L,5,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Nikola Jokic,DEN,@MIN,04/11/2018,L,46,35,14,25,56.0,4,7,57.1,3,4,75.0,2,8,10,3,1,0,3,4,6
Gorgui Dieng,MIN,vs.DEN,04/11/2018,W,6,5,2,5,40.0,1,3,33.3,0,0,-,1,2,3,0,0,0,0,0,5
Derrick Rose,MIN,vs.DEN,04/11/2018,W,11,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,0,1,0,0,1,7
Nemanja Bjelica,MIN,vs.DEN,04/11/2018,W,11,0,0,4,0.0,0,2,0.0,0,0,-,1,1,2,0,3,0,1,1,7
Jimmy Butler,MIN,vs.DEN,04/11/2018,W,42,31,10,21,47.6,1,4,25.0,10,13,76.9,2,3,5,5,1,1,3,3,-1
Will Barton,DEN,@MIN,04/11/2018,L,42,24,9,22,40.9,5,10,50.0,1,3,33.3,2,6,8,5,1,1,2,4,-2
Wilson Chandler,DEN,@MIN,04/11/2018,L,48,0,0,3,0.0,0,2,0.0,0,0,-,1,8,9,2,1,0,3,5,1
Mason Plumlee,DEN,@MIN,04/11/2018,L,12,3,1,1,100,0,0,-,1,2,50.0,1,3,4,0,0,2,1,2,-13
Tyus Jones,MIN,vs.DEN,04/11/2018,W,10,3,1,1,100,1,1,100,0,0,-,0,1,1,3,0,0,1,1,7
Devin Harris,DEN,@MIN,04/11/2018,L,10,4,2,3,66.7,0,1,0.0,0,0,-,0,2,2,1,0,0,0,0,1
Andrew Wiggins,MIN,vs.DEN,04/11/2018,W,42,18,5,9,55.6,3,5,60.0,5,8,62.5,0,5,5,3,0,0,1,1,-3
Jamal Crawford,MIN,vs.DEN,04/11/2018,W,18,2,1,7,14.3,0,2,0.0,0,0,-,0,2,2,4,1,0,0,0,12
Jeff Teague,MIN,vs.DEN,04/11/2018,W,43,17,6,13,46.2,3,5,60.0,2,2,100,0,1,1,7,1,0,1,3,-1
Paul Millsap,DEN,@MIN,04/11/2018,L,36,10,3,8,37.5,1,2,50.0,3,3,100,1,6,7,1,0,1,1,4,0
Gerald Green,HOU,@SAC,04/11/2018,L,26,31,11,22,50.0,7,17,41.2,2,2,100,0,2,2,0,0,0,3,1,-5
Vince Carter,SAC,vs.HOU,04/11/2018,W,25,12,5,8,62.5,2,3,66.7,0,0,-,0,3,3,1,0,0,1,0,14
