Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Jeff Teague,IND,vs.ATL,04/12/2017,W,32,19,6,9,66.7,1,2,50.0,6,8,75.0,0,0,0,7,0,0,1,1,13
Ryan Kelly,ATL,@IND,04/12/2017,L,22,8,3,8,37.5,2,2,100,0,0,-,1,2,3,0,0,0,1,0,-15
Mike Muscala,ATL,@IND,04/12/2017,L,20,10,3,7,42.9,2,4,50.0,2,2,100,0,3,3,2,0,1,1,1,-10
Monta Ellis,IND,vs.ATL,04/12/2017,W,24,0,0,4,0.0,0,1,0.0,0,0,-,0,0,0,1,1,0,0,2,14
Mike Dunleavy,ATL,@IND,04/12/2017,L,17,8,2,6,33.3,1,4,25.0,3,3,100,0,3,3,1,0,0,1,0,-6
Kevin Seraphin,IND,vs.ATL,04/12/2017,W,15,8,3,8,37.5,0,0,-,2,2,100,0,2,2,0,0,0,2,2,5
Jose Calderon,ATL,@IND,04/12/2017,L,30,12,5,8,62.5,2,4,50.0,0,0,-,0,2,2,5,0,0,3,1,-9
Thabo Sefolosha,ATL,@IND,04/12/2017,L,23,0,0,3,0.0,0,1,0.0,0,0,-,1,3,4,0,0,0,3,0,-15
Kris Humphries,ATL,@IND,04/12/2017,L,28,5,2,9,22.2,0,3,0.0,1,4,25.0,4,4,8,0,0,2,0,2,-8
Aaron Brooks,IND,vs.ATL,04/12/2017,W,17,5,2,3,66.7,1,2,50.0,0,0,-,0,0,0,0,0,0,0,1,7
Lance Stephenson,IND,vs.ATL,04/12/2017,W,23,4,2,7,28.6,0,1,0.0,0,0,-,1,9,10,6,1,1,3,2,2
DeAndre' Bembry,ATL,@IND,04/12/2017,L,32,7,3,6,50.0,1,2,50.0,0,0,-,2,5,7,2,1,1,2,3,-8
Myles Turner,IND,vs.ATL,04/12/2017,W,33,18,7,14,50.0,0,1,0.0,4,4,100,3,5,8,2,0,6,1,2,13
Thaddeus Young,IND,vs.ATL,04/12/2017,W,36,9,4,8,50.0,0,0,-,1,2,50.0,4,4,8,1,2,0,2,0,22
Trey Lyles,UTA,vs.SAS,04/12/2017,W,9,1,0,2,0.0,0,0,-,1,2,50.0,0,3,3,0,0,0,1,1,0
Boris Diaw,UTA,vs.SAS,04/12/2017,W,15,4,2,4,50.0,0,1,0.0,0,0,-,0,1,1,1,1,0,0,3,11
Davis Bertans,SAS,@UTA,04/12/2017,L,12,7,2,5,40.0,2,5,40.0,1,1,100,0,1,1,0,1,0,1,1,6
Dante Exum,UTA,vs.SAS,04/12/2017,W,17,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,3,1,0,1,2,1
Patty Mills,SAS,@UTA,04/12/2017,L,19,8,3,5,60.0,2,2,100,0,0,-,0,2,2,5,1,0,1,1,-1
LaMarcus Aldridge,SAS,@UTA,04/12/2017,L,34,18,9,14,64.3,0,1,0.0,0,0,-,2,3,5,0,3,1,1,1,1
Kawhi Leonard,SAS,@UTA,04/12/2017,L,31,14,5,13,38.5,1,2,50.0,3,3,100,1,4,5,2,1,0,1,2,-3
Dewayne Dedmon,SAS,@UTA,04/12/2017,L,14,2,1,4,25.0,0,0,-,0,2,0.0,5,3,8,0,0,0,2,1,-8
George Hill,UTA,vs.SAS,04/12/2017,W,22,13,4,7,57.1,1,2,50.0,4,5,80.0,1,1,2,5,1,0,0,1,10
Derrick Favors,UTA,vs.SAS,04/12/2017,W,21,8,4,8,50.0,0,0,-,0,0,-,0,5,5,3,3,0,4,0,4
Rudy Gobert,UTA,vs.SAS,04/12/2017,W,29,13,5,9,55.6,0,0,-,3,5,60.0,1,8,9,0,0,1,3,2,1
Jeff Withey,UTA,vs.SAS,04/12/2017,W,6,3,1,2,50.0,0,0,-,1,2,50.0,1,1,2,0,0,1,0,0,0
David Lee,SAS,@UTA,04/12/2017,L,13,2,1,3,33.3,0,0,-,0,0,-,1,2,3,0,0,0,2,0,-8
Joe Ingles,UTA,vs.SAS,04/12/2017,W,28,9,3,7,42.9,3,6,50.0,0,0,-,0,2,2,3,1,0,3,3,4
Pau Gasol,SAS,@UTA,04/12/2017,L,23,13,6,13,46.2,1,2,50.0,0,0,-,3,4,7,0,1,0,0,3,1
Tony Parker,SAS,@UTA,04/12/2017,L,24,14,5,8,62.5,0,1,0.0,4,4,100,0,1,1,2,1,0,2,2,-1
Dejounte Murray,SAS,@UTA,04/12/2017,L,5,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-2
Shelvin Mack,UTA,vs.SAS,04/12/2017,W,26,13,4,7,57.1,2,3,66.7,3,4,75.0,2,1,3,3,1,1,1,1,-6
Rodney Hood,UTA,vs.SAS,04/12/2017,W,23,10,4,13,30.8,2,8,25.0,0,0,-,1,3,4,2,1,0,2,2,-7
Kyle Anderson,SAS,@UTA,04/12/2017,L,16,8,3,7,42.9,1,2,50.0,1,1,100,0,2,2,2,1,0,0,3,9
Manu Ginobili,SAS,@UTA,04/12/2017,L,18,5,1,3,33.3,1,3,33.3,2,2,100,0,2,2,2,1,0,2,1,-1
