Date,Player,Team,Match-up,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
2021-01-08,Derrick Favors,UTA,@MIL,W,23,4,2,3,66.7,0,0,-,0,0,-,2,4,6,1,0,1,0,3,9,2020-21
2021-01-08,Sam Merrill,MIL,vs.UTA,L,1,2,0,1,0.0,0,1,0.0,2,2,100,0,0,0,1,0,0,0,1,0,2020-21
2021-01-08,Khris Middleton,MIL,vs.UTA,L,36,31,11,19,57.9,3,8,37.5,6,6,100,2,8,10,4,0,0,2,3,-8,2020-21
2021-01-08,Giannis Antetokounmpo,MIL,vs.UTA,L,33,35,14,25,56.0,2,5,40.0,5,7,71.4,1,7,8,4,0,1,2,2,-5,2020-21
2021-01-08,Donte DiVincenzo,MIL,vs.UTA,L,30,11,4,10,40.0,1,4,25.0,2,3,66.7,0,5,5,3,2,1,0,0,3,2020-21
2021-01-08,Shaquille Harrison,UTA,@MIL,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,2020-21
2021-01-08,Udoka Azubuike,UTA,@MIL,W,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,2020-21
2021-01-08,Miye Oni,UTA,@MIL,W,4,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,1,1,2020-21
2021-01-08,Elijah Hughes,UTA,@MIL,W,1,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,1,0,0,0,0,2020-21
2021-01-08,Trent Forrest,UTA,@MIL,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-2,2020-21
2021-01-08,D.J. Augustin,MIL,vs.UTA,L,19,0,0,4,0.0,0,3,0.0,0,0,-,0,0,0,1,0,0,0,1,-8,2020-21
2021-01-08,Brook Lopez,MIL,vs.UTA,L,32,12,4,12,33.3,4,12,33.3,0,0,-,0,3,3,0,1,2,1,1,-7,2020-21
2021-01-08,Jrue Holiday,MIL,vs.UTA,L,34,17,7,14,50.0,3,5,60.0,0,1,0.0,0,4,4,5,2,1,2,4,-11,2020-21
2021-01-08,Xavier Tillman,MEM,vs.BKN,W,19,6,3,8,37.5,0,2,0.0,0,0,-,2,4,6,3,0,1,0,0,5,2020-21
2021-01-08,Brandon Clarke,MEM,vs.BKN,W,33,21,9,22,40.9,3,7,42.9,0,1,0.0,3,5,8,5,1,2,1,2,-5,2020-21
2021-01-08,De'Anthony Melton,MEM,vs.BKN,W,22,14,6,10,60.0,2,2,100,0,0,-,1,4,5,1,1,1,2,0,-6,2020-21
2021-01-08,Grayson Allen,MEM,vs.BKN,W,23,10,3,7,42.9,2,4,50.0,2,2,100,1,3,4,0,2,0,2,2,12,2020-21
2021-01-08,Dillon Brooks,MEM,vs.BKN,W,28,24,10,19,52.6,2,7,28.6,2,3,66.7,2,2,4,0,0,0,1,4,9,2020-21
2021-01-08,Tyus Jones,MEM,vs.BKN,W,31,11,5,12,41.7,1,4,25.0,0,0,-,0,4,4,10,4,0,1,1,1,2020-21
2021-01-08,Tim Frazier,MEM,vs.BKN,W,10,4,2,2,100,0,0,-,0,0,-,0,1,1,3,0,0,2,0,8,2020-21
2021-01-08,Kyle Anderson,MEM,vs.BKN,W,26,7,2,6,33.3,1,1,100,2,2,100,1,3,4,6,1,1,1,3,-1,2020-21
2021-01-08,Gorgui Dieng,MEM,vs.BKN,W,14,0,0,1,0.0,0,1,0.0,0,0,-,1,3,4,1,2,0,1,1,-6,2020-21
2021-01-08,Jonas Valanciunas,MEM,vs.BKN,W,14,8,3,5,60.0,0,1,0.0,2,2,100,1,3,4,0,2,1,1,2,16,2020-21
2021-01-08,Chris Chiozza,BKN,@MEM,L,8,0,0,4,0.0,0,1,0.0,0,0,-,0,0,0,0,1,0,0,0,-12,2020-21
2021-01-08,Landry Shamet,BKN,@MEM,L,22,8,3,7,42.9,2,5,40.0,0,0,-,0,2,2,4,2,0,0,1,-16,2020-21
