Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,D/D,T/D,DraftKings
Frank Jackson,NOP,@ORL,2020-08-13,L,36,31,12,24,50.0,3,9,33.3,4,5,80.0,0,2,2,5,1,0,0,2,-8,0,0,44.5
Sindarius Thornwell,NOP,@ORL,2020-08-13,L,19,9,3,6,50.0,1,3,33.3,2,4,50.0,0,2,2,1,0,1,2,1,0,0,0,14.5
Kenrich Williams,NOP,@ORL,2020-08-13,L,19,0,0,1,0.0,0,1,0.0,0,0,-,2,3,5,1,2,0,0,3,12,0,0,11.75
Gary Clark,ORL,vs.NOP,2020-08-13,W,29,8,3,7,42.9,2,5,40.0,0,0,-,1,1,2,0,0,2,1,3,-1,0,0,15.0
Zylan Cheatham,NOP,@ORL,2020-08-13,L,20,8,4,4,100,0,0,-,0,0,-,2,1,3,1,1,0,1,5,2,0,0,14.75
Vic Law,ORL,vs.NOP,2020-08-13,W,21,10,4,8,50.0,1,3,33.3,1,2,50.0,0,4,4,1,0,0,1,3,-9,0,0,16.5
D.J. Augustin,ORL,vs.NOP,2020-08-13,W,22,22,7,10,70.0,1,3,33.3,7,7,100,1,3,4,6,0,0,2,5,-5,0,0,35.5
Khem Birch,ORL,vs.NOP,2020-08-13,W,18,9,3,6,50.0,0,0,-,3,6,50.0,2,1,3,2,1,0,1,2,-9,0,0,17.25
Jakob Poeltl,SAS,@UTA,2020-08-13,L,21,10,5,6,83.3,0,0,-,0,5,0.0,2,3,5,3,1,2,1,3,-1,0,0,26.25
Lonnie Walker IV,SAS,@UTA,2020-08-13,L,34,15,6,14,42.9,3,3,100,0,0,-,1,2,3,4,1,0,1,0,-12,0,0,27.75
Keldon Johnson,SAS,@UTA,2020-08-13,L,30,24,8,12,66.7,1,3,33.3,7,8,87.5,0,2,2,0,1,0,3,4,4,0,0,27.5
Quinndary Weatherspoon,SAS,@UTA,2020-08-13,L,3,1,0,0,-,0,0,-,1,2,50.0,0,1,1,0,0,0,0,1,-4,0,0,2.25
Ed Davis,UTA,vs.SAS,2020-08-13,W,7,11,5,6,83.3,0,0,-,1,1,100,4,2,6,1,0,0,0,2,11,0,0,20.0
Jordan Clarkson,UTA,vs.SAS,2020-08-13,W,14,11,4,12,33.3,3,9,33.3,0,0,-,0,2,2,1,0,0,2,1,12,0,0,15.5
Joe Ingles,UTA,vs.SAS,2020-08-13,W,12,3,1,4,25.0,1,3,33.3,0,0,-,0,1,1,3,1,0,0,0,12,0,0,11.25
Royce O'Neale,UTA,vs.SAS,2020-08-13,W,11,2,1,4,25.0,0,2,0.0,0,0,-,0,1,1,0,0,2,0,1,1,0,0,7.25
Georges Niang,UTA,vs.SAS,2020-08-13,W,22,13,5,10,50.0,3,8,37.5,0,0,-,1,4,5,2,0,0,1,1,13,0,0,23.25
Donovan Mitchell,UTA,vs.SAS,2020-08-13,W,11,11,3,5,60.0,3,4,75.0,2,2,100,0,4,4,3,0,0,0,1,1,0,0,22.0
Tony Bradley,UTA,vs.SAS,2020-08-13,W,22,6,3,7,42.9,0,0,-,0,0,-,3,7,10,1,0,1,1,1,-1,0,0,21.5
Jarrell Brantley,UTA,vs.SAS,2020-08-13,W,29,13,6,13,46.2,0,3,0.0,1,2,50.0,1,3,4,6,1,1,0,2,-4,0,0,31.0
