Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,D/D,T/D,DraftKings
Garrett Temple,BKN,@ATL,2019-12-04,W,34,27,10,16,62.5,6,9,66.7,1,1,100,1,3,4,3,0,0,2,5,6,0,0,38.5
DeAndre Jordan,BKN,@ATL,2019-12-04,W,19,4,1,2,50.0,0,0,-,2,2,100,1,8,9,2,0,1,2,1,6,0,0,19.25
Vince Carter,ATL,vs.BKN,2019-12-04,L,11,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,0,1,0,1,-11,0,0,4.0
Dzanan Musa,BKN,@ATL,2019-12-04,W,14,5,1,6,16.7,0,2,0.0,3,3,100,0,1,1,2,0,0,0,1,6,0,0,9.25
Brandon Goodwin,ATL,vs.BKN,2019-12-04,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,1,1,-8,0,0,-0.5
Jabari Parker,ATL,vs.BKN,2019-12-04,L,29,10,5,9,55.6,0,1,0.0,0,0,-,0,3,3,0,0,0,3,3,-1,0,0,12.25
Tyrone Wallace,ATL,vs.BKN,2019-12-04,L,4,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,0,1,0,1,1,1,0,0,1.5
Bruno Fernando,ATL,vs.BKN,2019-12-04,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-8,0,0,0.0
Kevin Huerter,ATL,vs.BKN,2019-12-04,L,15,0,0,2,0.0,0,1,0.0,0,0,-,0,1,1,2,1,1,0,1,-2,0,0,8.25
Damian Jones,ATL,vs.BKN,2019-12-04,L,28,20,8,8,100,0,0,-,4,9,44.4,2,6,8,1,0,1,1,3,-8,0,0,33.0
Joe Harris,BKN,@ATL,2019-12-04,W,29,13,5,11,45.5,1,3,33.3,2,2,100,2,1,3,4,1,0,1,0,6,0,0,24.75
Trae Young,ATL,vs.BKN,2019-12-04,L,37,39,13,23,56.5,5,9,55.6,8,10,80.0,1,2,3,10,1,0,6,1,1,1,0,60.75
Jarrett Allen,BKN,@ATL,2019-12-04,W,29,20,8,11,72.7,0,0,-,4,4,100,7,6,13,2,2,3,1,3,6,1,0,50.25
Alex Len,ATL,vs.BKN,2019-12-04,L,17,18,9,13,69.2,0,0,-,0,0,-,1,6,7,3,2,1,0,3,4,0,0,37.25
Theo Pinson,BKN,@ATL,2019-12-04,W,14,7,3,9,33.3,1,3,33.3,0,0,-,1,1,2,2,0,0,1,1,8,0,0,12.5
David Nwaba,BKN,@ATL,2019-12-04,W,17,5,2,5,40.0,1,1,100,0,0,-,1,2,3,1,1,2,1,2,3,0,0,16.25
Iman Shumpert,BKN,@ATL,2019-12-04,W,19,2,1,3,33.3,0,2,0.0,0,0,-,2,4,6,1,0,0,0,2,6,0,0,11.0
Spencer Dinwiddie,BKN,@ATL,2019-12-04,W,34,24,10,23,43.5,0,4,0.0,4,6,66.7,2,4,6,5,2,0,6,4,4,0,0,40.0
Bojan Bogdanovic,UTA,vs.LAL,2019-12-04,L,35,23,6,15,40.0,6,10,60.0,5,5,100,1,2,3,3,1,0,2,2,-5,0,0,35.25
Ed Davis,UTA,vs.LAL,2019-12-04,L,13,7,3,5,60.0,0,0,-,1,2,50.0,1,3,4,0,0,0,0,4,-12,0,0,12.0
Quinn Cook,LAL,@UTA,2019-12-04,W,5,2,1,3,33.3,0,0,-,0,0,-,0,1,1,0,0,0,0,1,4,0,0,3.25
Kentavious Caldwell-Pope,LAL,@UTA,2019-12-04,W,25,14,5,8,62.5,2,4,50.0,2,2,100,1,0,1,0,0,1,0,2,14,0,0,18.25
Dante Exum,UTA,vs.LAL,2019-12-04,L,13,2,1,3,33.3,0,0,-,0,0,-,0,1,1,0,0,0,2,1,-4,0,0,2.25
Royce O'Neale,UTA,vs.LAL,2019-12-04,L,23,2,0,4,0.0,0,3,0.0,2,2,100,0,5,5,1,1,0,2,3,-18,0,0,10.75
Donovan Mitchell,UTA,vs.LAL,2019-12-04,L,33,29,11,24,45.8,3,7,42.9,4,5,80.0,0,4,4,5,0,0,2,1,-18,0,0,42.0
Nigel Williams-Goss,UTA,vs.LAL,2019-12-04,L,4,0,0,1,0.0,0,0,-,0,0,-,0,0,0,1,0,1,0,0,-6,0,0,3.5
Georges Niang,UTA,vs.LAL,2019-12-04,L,20,6,2,6,33.3,2,4,50.0,0,0,-,0,2,2,0,0,0,0,1,-17,0,0,9.5
Emmanuel Mudiay,UTA,vs.LAL,2019-12-04,L,10,2,1,3,33.3,0,0,-,0,0,-,0,1,1,1,0,0,0,0,-16,0,0,4.75
Joe Ingles,UTA,vs.LAL,2019-12-04,L,28,4,1,5,20.0,1,3,33.3,1,2,50.0,0,2,2,5,0,0,5,4,1,0,0,12.0
Alex Caruso,LAL,@UTA,2019-12-04,W,21,5,2,4,50.0,1,2,50.0,0,0,-,0,3,3,1,1,0,1,1,14,0,0,12.25
Kyle Kuzma,LAL,@UTA,2019-12-04,W,31,13,4,11,36.4,3,5,60.0,2,7,28.6,0,1,1,0,4,3,2,0,25,0,0,28.75
Anthony Davis,LAL,@UTA,2019-12-04,W,26,26,9,11,81.8,0,0,-,8,9,88.9,1,5,6,1,1,3,0,2,3,0,0,43.0
Rudy Gobert,UTA,vs.LAL,2019-12-04,L,27,13,6,8,75.0,0,0,-,1,3,33.3,4,6,10,2,1,0,2,3,-8,1,0,31.0
Jeff Green,UTA,vs.LAL,2019-12-04,L,23,8,3,7,42.9,2,4,50.0,0,0,-,1,3,4,2,0,0,1,4,-12,0,0,16.5
Rajon Rondo,LAL,@UTA,2019-12-04,W,32,14,5,12,41.7,2,3,66.7,2,2,100,0,9,9,12,2,0,2,2,25,1,0,48.75
LeBron James,LAL,@UTA,2019-12-04,W,29,20,9,21,42.9,1,6,16.7,1,1,100,0,4,4,12,1,0,1,3,14,1,0,46.5
Tony Bradley,UTA,vs.LAL,2019-12-04,L,7,0,0,2,0.0,0,0,-,0,0,-,1,2,3,0,0,1,1,0,-4,0,0,5.25
Troy Daniels,LAL,@UTA,2019-12-04,W,13,3,1,4,25.0,1,3,33.3,0,0,-,0,2,2,0,1,0,0,1,2,0,0,8.0
Jarrell Brantley,UTA,vs.LAL,2019-12-04,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,1,1,1,-6,0,0,2.75
Dwight Howard,LAL,@UTA,2019-12-04,W,19,7,3,3,100,1,1,100,0,4,0.0,2,7,9,1,0,3,0,0,19,0,0,26.25
Jared Dudley,LAL,@UTA,2019-12-04,W,5,3,1,1,100,1,1,100,0,0,-,0,0,0,0,1,0,0,0,4,0,0,5.5
JaVale McGee,LAL,@UTA,2019-12-04,W,14,8,4,8,50.0,0,0,-,0,0,-,3,2,5,0,2,1,0,3,-1,0,0,20.25
Danny Green,LAL,@UTA,2019-12-04,W,21,6,2,4,50.0,2,4,50.0,0,0,-,1,4,5,0,0,1,1,2,2,0,0,14.75
Nemanja Bjelica,SAC,@POR,2019-12-04,L,27,17,7,15,46.7,3,7,42.9,0,0,-,3,4,7,4,1,2,3,1,-1,0,0,37.75
Nassir Little,POR,vs.SAC,2019-12-04,W,12,4,2,3,66.7,0,1,0.0,0,0,-,0,1,1,0,1,0,1,0,-4,0,0,6.75
Skal Labissiere,POR,vs.SAC,2019-12-04,W,14,0,0,0,-,0,0,-,0,0,-,1,1,2,1,1,1,0,1,4,0,0,8.0
Kent Bazemore,POR,vs.SAC,2019-12-04,W,23,15,5,9,55.6,3,5,60.0,2,2,100,1,5,6,1,1,0,0,0,9,0,0,27.5
Rodney Hood,POR,vs.SAC,2019-12-04,W,34,6,2,7,28.6,2,4,50.0,0,0,-,0,3,3,3,0,0,1,2,3,0,0,14.75
Trevor Ariza,SAC,@POR,2019-12-04,L,35,11,4,10,40.0,2,7,28.6,1,2,50.0,1,5,6,1,1,2,2,2,-5,0,0,26.0
Justin James,SAC,@POR,2019-12-04,L,8,0,0,3,0.0,0,1,0.0,0,0,-,0,2,2,1,0,1,0,1,-4,0,0,6.0
Buddy Hield,SAC,@POR,2019-12-04,L,40,23,8,24,33.3,3,12,25.0,4,6,66.7,3,4,7,7,2,0,1,2,-7,0,0,47.25
Richaun Holmes,SAC,@POR,2019-12-04,L,33,28,11,14,78.6,0,0,-,6,8,75.0,5,5,10,0,1,0,1,5,-6,1,0,43.5
Dewayne Dedmon,SAC,@POR,2019-12-04,L,14,5,2,3,66.7,1,2,50.0,0,0,-,0,4,4,0,0,2,0,2,-1,0,0,14.5
CJ McCollum,POR,vs.SAC,2019-12-04,W,37,33,14,22,63.6,5,10,50.0,0,0,-,1,3,4,4,1,4,2,2,18,0,0,55.5
Carmelo Anthony,POR,vs.SAC,2019-12-04,W,36,20,8,16,50.0,2,4,50.0,2,2,100,2,3,5,0,0,1,1,2,15,0,0,28.75
Cory Joseph,SAC,@POR,2019-12-04,L,33,11,4,10,40.0,1,2,50.0,2,2,100,0,3,3,7,0,0,1,2,-6,0,0,25.25
Yogi Ferrell,SAC,@POR,2019-12-04,L,15,13,5,7,71.4,1,2,50.0,2,3,66.7,0,1,1,3,1,0,1,1,-5,0,0,20.75
Anfernee Simons,POR,vs.SAC,2019-12-04,W,13,3,1,5,20.0,0,2,0.0,1,2,50.0,0,2,2,2,0,0,1,6,-11,0,0,8.0
Harrison Barnes,SAC,@POR,2019-12-04,L,35,8,3,9,33.3,0,1,0.0,2,2,100,1,3,4,3,1,0,1,1,-20,0,0,19.0
Hassan Whiteside,POR,vs.SAC,2019-12-04,W,34,22,8,10,80.0,0,0,-,6,8,75.0,1,15,16,7,0,3,2,3,7,1,0,59.0
Damian Lillard,POR,vs.SAC,2019-12-04,W,37,24,7,12,58.3,4,6,66.7,6,7,85.7,0,4,4,10,2,1,4,2,14,1,0,51.5
Khris Middleton,MIL,@DET,2019-12-04,W,25,17,6,12,50.0,2,4,50.0,3,3,100,0,8,8,5,1,0,0,1,19,0,0,37.5
Donte DiVincenzo,MIL,@DET,2019-12-04,W,22,6,2,6,33.3,0,3,0.0,2,2,100,0,6,6,3,1,0,2,1,6,0,0,19.0
Brook Lopez,MIL,@DET,2019-12-04,W,18,5,1,3,33.3,1,2,50.0,2,2,100,0,6,6,0,1,3,2,2,3,0,0,20.0
Robin Lopez,MIL,@DET,2019-12-04,W,18,10,4,6,66.7,2,3,66.7,0,0,-,2,0,2,0,0,1,1,3,5,0,0,15.0
Bruce Brown,DET,vs.MIL,2019-12-04,L,21,0,0,6,0.0,0,2,0.0,0,0,-,1,2,3,2,1,0,1,2,-13,0,0,8.25
Svi Mykhailiuk,DET,vs.MIL,2019-12-04,L,28,6,2,8,25.0,2,6,33.3,0,0,-,0,1,1,3,1,0,0,1,-16,0,0,14.75
Sekou Doumbouya,DET,vs.MIL,2019-12-04,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-3,0,0,0.0
Kyle Korver,MIL,@DET,2019-12-04,W,20,9,2,3,66.7,2,3,66.7,3,3,100,0,1,1,1,0,0,1,4,17,0,0,12.25
Ersan Ilyasova,MIL,@DET,2019-12-04,W,16,10,4,10,40.0,0,3,0.0,2,2,100,1,3,4,1,2,0,0,1,10,0,0,20.5
Tony Snell,DET,vs.MIL,2019-12-04,L,27,7,3,6,50.0,1,4,25.0,0,0,-,0,1,1,2,0,0,0,3,-22,0,0,11.75
Eric Bledsoe,MIL,@DET,2019-12-04,W,27,13,6,11,54.5,1,2,50.0,0,0,-,1,5,6,6,0,1,1,0,14,0,0,31.5
D.J. Wilson,MIL,@DET,2019-12-04,W,16,6,2,5,40.0,1,2,50.0,1,1,100,1,4,5,1,0,0,0,3,13,0,0,14.25
Pat Connaughton,MIL,@DET,2019-12-04,W,18,5,2,5,40.0,1,2,50.0,0,0,-,1,2,3,3,1,1,2,0,1,0,0,16.75
Thon Maker,DET,vs.MIL,2019-12-04,L,3,5,2,2,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,-3,0,0,5.5
Giannis Antetokounmpo,MIL,@DET,2019-12-04,W,28,35,12,21,57.1,4,8,50.0,7,9,77.8,3,6,9,0,0,2,2,2,17,0,0,51.25
Wesley Matthews,MIL,@DET,2019-12-04,W,17,8,3,6,50.0,0,3,0.0,2,2,100,0,1,1,2,1,0,1,1,9,0,0,13.75
Christian Wood,DET,vs.MIL,2019-12-04,L,14,7,3,6,50.0,0,2,0.0,1,3,33.3,2,2,4,1,0,0,1,1,-15,0,0,13.0
George Hill,MIL,@DET,2019-12-04,W,15,3,0,2,0.0,0,0,-,3,3,100,1,3,4,3,0,0,2,0,6,0,0,11.5
Tim Frazier,DET,vs.MIL,2019-12-04,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,2,0,0,0,0,-3,0,0,4.25
Derrick Rose,DET,vs.MIL,2019-12-04,L,25,14,6,15,40.0,0,3,0.0,2,2,100,0,2,2,5,1,0,1,0,-8,0,0,25.5
Langston Galloway,DET,vs.MIL,2019-12-04,L,38,20,7,10,70.0,4,5,80.0,2,3,66.7,0,1,1,1,0,0,0,2,-7,0,0,24.75
Andre Drummond,DET,vs.MIL,2019-12-04,L,33,23,11,17,64.7,0,1,0.0,1,4,25.0,5,9,14,5,2,3,3,3,-7,1,0,58.0
Blake Griffin,DET,vs.MIL,2019-12-04,L,31,16,4,17,23.5,2,8,25.0,6,8,75.0,0,10,10,3,0,0,3,3,-8,1,0,34.0
Markieff Morris,DET,vs.MIL,2019-12-04,L,15,5,1,5,20.0,1,3,33.3,2,2,100,1,2,3,1,0,0,2,3,-15,0,0,9.75
Josh Magette,ORL,vs.PHX,2019-12-04,W,3,1,0,1,0.0,0,0,-,1,2,50.0,0,1,1,0,0,0,3,0,-7,0,0,0.75
Mo Bamba,ORL,vs.PHX,2019-12-04,W,18,10,4,4,100,2,2,100,0,0,-,3,8,11,0,1,4,3,3,14,1,0,34.75
Cameron Johnson,PHX,@ORL,2019-12-04,L,25,12,4,9,44.4,4,6,66.7,0,0,-,0,1,1,1,1,0,1,4,-12,0,0,18.25
Ty Jerome,PHX,@ORL,2019-12-04,L,18,5,2,6,33.3,1,1,100,0,0,-,0,1,1,7,2,0,5,0,-16,0,0,18.75
Jevon Carter,PHX,@ORL,2019-12-04,L,18,0,0,3,0.0,0,1,0.0,0,0,-,0,2,2,4,1,0,0,2,-9,0,0,10.5
Mikal Bridges,PHX,@ORL,2019-12-04,L,25,15,5,8,62.5,2,4,50.0,3,5,60.0,0,1,1,1,0,0,1,2,-14,0,0,18.25
Wes Iwundu,ORL,vs.PHX,2019-12-04,W,19,4,2,2,100,0,0,-,0,0,-,0,2,2,2,0,1,0,1,20,0,0,11.5
Cheick Diallo,PHX,@ORL,2019-12-04,L,19,16,6,8,75.0,1,1,100,3,4,75.0,1,3,4,0,2,0,1,0,-10,0,0,25.0
Aaron Gordon,ORL,vs.PHX,2019-12-04,W,34,32,13,15,86.7,5,5,100,1,2,50.0,0,5,5,5,1,0,1,1,12,0,0,49.75
Terrence Ross,ORL,vs.PHX,2019-12-04,W,22,22,7,14,50.0,3,6,50.0,5,5,100,0,3,3,1,2,0,2,4,18,0,0,31.75
Evan Fournier,ORL,vs.PHX,2019-12-04,W,28,21,9,15,60.0,3,7,42.9,0,0,-,1,1,2,4,1,0,4,3,1,0,0,31.0
Khem Birch,ORL,vs.PHX,2019-12-04,W,29,7,3,4,75.0,0,0,-,1,2,50.0,4,5,9,2,1,0,1,2,0,0,0,22.75
Markelle Fultz,ORL,vs.PHX,2019-12-04,W,26,13,6,12,50.0,0,0,-,1,1,100,0,4,4,5,0,1,1,1,4,0,0,27.0
Jonathan Isaac,ORL,vs.PHX,2019-12-04,W,28,7,3,9,33.3,0,1,0.0,1,2,50.0,2,2,4,1,2,1,1,0,6,0,0,19.0
Amile Jefferson,ORL,vs.PHX,2019-12-04,W,3,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,2,-7,0,0,1.25
Melvin Frazier Jr.,ORL,vs.PHX,2019-12-04,W,3,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-7,0,0,0.0
BJ Johnson,ORL,vs.PHX,2019-12-04,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-7,0,0,0.0
Ricky Rubio,PHX,@ORL,2019-12-04,L,25,4,2,9,22.2,0,3,0.0,0,0,-,2,1,3,9,1,0,0,2,-6,0,0,23.25
Dario Saric,PHX,@ORL,2019-12-04,L,26,10,3,7,42.9,1,4,25.0,3,4,75.0,3,3,6,2,0,0,2,3,-3,0,0,20.0
Kelly Oubre Jr.,PHX,@ORL,2019-12-04,L,23,8,3,8,37.5,1,3,33.3,1,2,50.0,1,2,3,2,2,0,0,4,-2,0,0,19.25
Frank Kaminsky,PHX,@ORL,2019-12-04,L,26,23,10,12,83.3,3,4,75.0,0,1,0.0,1,4,5,3,1,0,1,1,-1,0,0,36.75
Devin Booker,PHX,@ORL,2019-12-04,L,30,17,7,16,43.8,2,5,40.0,1,2,50.0,0,3,3,5,0,0,2,2,-5,0,0,28.25
Elie Okobo,PHX,@ORL,2019-12-04,L,5,4,1,2,50.0,0,1,0.0,2,2,100,0,0,0,2,0,0,0,0,8,0,0,7.0
D.J. Augustin,ORL,vs.PHX,2019-12-04,W,26,11,2,8,25.0,1,4,25.0,6,6,100,1,2,3,7,1,0,3,1,23,0,0,26.25
Jayson Tatum,BOS,vs.MIA,2019-12-04,W,34,19,6,19,31.6,2,12,16.7,5,6,83.3,1,4,5,3,1,3,3,2,31,0,0,37.25
Daniel Theis,BOS,vs.MIA,2019-12-04,W,27,8,3,5,60.0,0,1,0.0,2,4,50.0,2,8,10,2,1,3,1,2,24,0,0,31.0
Enes Kanter,BOS,vs.MIA,2019-12-04,W,6,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-5,0,0,3.25
Brad Wanamaker,BOS,vs.MIA,2019-12-04,W,19,7,2,7,28.6,1,3,33.3,2,2,100,0,0,0,4,1,0,1,2,-3,0,0,15.0
Semi Ojeleye,BOS,vs.MIA,2019-12-04,W,24,5,1,3,33.3,1,2,50.0,2,2,100,2,5,7,0,1,0,1,2,21,0,0,15.75
Grant Williams,BOS,vs.MIA,2019-12-04,W,18,2,0,0,-,0,0,-,2,2,100,0,3,3,2,0,0,1,4,1,0,0,8.25
Vincent Poirier,BOS,vs.MIA,2019-12-04,W,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0,0,2.0
Javonte Green,BOS,vs.MIA,2019-12-04,W,7,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,0,0,1,-5,0,0,4.0
Derrick Jones Jr.,MIA,@BOS,2019-12-04,L,5,0,0,1,0.0,0,0,-,0,0,-,1,1,2,1,0,0,1,0,-2,0,0,3.5
Duncan Robinson,MIA,@BOS,2019-12-04,L,29,10,4,8,50.0,2,6,33.3,0,0,-,0,5,5,1,3,0,0,5,-4,0,0,24.75
Kemba Walker,BOS,vs.MIA,2019-12-04,W,31,28,9,17,52.9,6,11,54.5,4,4,100,0,4,4,7,2,1,1,1,16,0,0,52.0
Kelly Olynyk,MIA,@BOS,2019-12-04,L,28,12,4,8,50.0,1,5,20.0,3,3,100,2,2,4,2,1,0,1,4,-8,0,0,22.0
Carsen Edwards,BOS,vs.MIA,2019-12-04,W,18,5,1,3,33.3,1,3,33.3,2,2,100,0,0,0,1,1,0,1,1,9,0,0,8.5
Kendrick Nunn,MIA,@BOS,2019-12-04,L,26,8,3,11,27.3,2,7,28.6,0,0,-,0,2,2,4,1,0,4,2,-12,0,0,17.5
Chris Silva,MIA,@BOS,2019-12-04,L,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,2,-1,0,0,1.25
Justise Winslow,MIA,@BOS,2019-12-04,L,31,10,4,10,40.0,1,4,25.0,1,2,50.0,1,6,7,4,0,0,3,4,-15,0,0,23.75
Tyler Herro,MIA,@BOS,2019-12-04,L,20,5,2,8,25.0,1,4,25.0,0,0,-,0,1,1,1,0,1,1,1,-13,0,0,9.75
Jimmy Butler,MIA,@BOS,2019-12-04,L,37,37,12,18,66.7,6,10,60.0,7,10,70.0,2,4,6,4,2,0,4,2,-13,0,0,55.5
Bam Adebayo,MIA,@BOS,2019-12-04,L,38,8,4,9,44.4,0,0,-,0,2,0.0,1,6,7,3,0,0,4,2,-16,0,0,19.25
Meyers Leonard,MIA,@BOS,2019-12-04,L,20,3,1,4,25.0,1,2,50.0,0,0,-,1,4,5,0,0,1,0,3,-11,0,0,11.75
Jaylen Brown,BOS,vs.MIA,2019-12-04,W,34,31,10,20,50.0,5,9,55.6,6,8,75.0,1,3,4,1,1,0,1,3,9,0,0,41.5
Robert Williams III,BOS,vs.MIA,2019-12-04,W,19,3,1,3,33.3,0,0,-,1,2,50.0,4,6,10,0,0,1,0,2,-1,0,0,17.5
Kris Dunn,CHI,vs.MEM,2019-12-04,W,25,10,4,7,57.1,2,4,50.0,0,0,-,2,2,4,4,1,0,2,6,-3,0,0,23.0
Tyus Jones,MEM,@CHI,2019-12-04,L,23,6,2,7,28.6,0,1,0.0,2,2,100,0,1,1,3,0,0,1,1,-20,0,0,11.25
Bruno Caboclo,MEM,@CHI,2019-12-04,L,13,2,1,3,33.3,0,1,0.0,0,0,-,2,0,2,1,0,2,0,0,-8,0,0,10.0
Thaddeus Young,CHI,vs.MEM,2019-12-04,W,19,9,3,10,30.0,1,2,50.0,2,2,100,1,0,1,2,0,1,1,1,8,0,0,15.25
Denzel Valentine,CHI,vs.MEM,2019-12-04,W,16,8,3,7,42.9,2,5,40.0,0,0,-,0,4,4,2,0,0,1,3,9,0,0,16.5
Marko Guduric,MEM,@CHI,2019-12-04,L,5,2,0,1,0.0,0,1,0.0,2,2,100,0,0,0,0,0,0,0,0,-2,0,0,2.0
Wendell Carter Jr.,CHI,vs.MEM,2019-12-04,W,33,16,5,8,62.5,0,1,0.0,6,8,75.0,2,11,13,0,0,4,5,4,6,1,0,39.25
Jaren Jackson Jr.,MEM,@CHI,2019-12-04,L,26,15,6,20,30.0,2,5,40.0,1,2,50.0,3,4,7,1,1,2,1,5,-9,0,0,31.75
Tomas Satoransky,CHI,vs.MEM,2019-12-04,W,33,13,3,10,30.0,0,2,0.0,7,9,77.8,1,5,6,8,3,0,2,1,0,0,0,37.5
Zach LaVine,CHI,vs.MEM,2019-12-04,W,34,25,7,13,53.8,2,5,40.0,9,11,81.8,0,6,6,3,1,1,4,0,2,0,0,40.0
Lauri Markkanen,CHI,vs.MEM,2019-12-04,W,29,15,5,9,55.6,4,8,50.0,1,2,50.0,1,4,5,1,0,2,2,2,-1,0,0,27.75
Coby White,CHI,vs.MEM,2019-12-04,W,22,3,1,8,12.5,1,3,33.3,0,1,0.0,1,4,5,1,0,0,2,3,6,0,0,10.25
Daniel Gafford,CHI,vs.MEM,2019-12-04,W,15,4,1,1,100,0,0,-,2,4,50.0,1,1,2,0,0,4,0,2,1,0,0,14.5
Jonas Valanciunas,MEM,@CHI,2019-12-04,L,29,32,12,17,70.6,0,0,-,8,10,80.0,4,9,13,1,3,1,3,4,5,1,0,57.75
Jae Crowder,MEM,@CHI,2019-12-04,L,34,15,5,13,38.5,3,10,30.0,2,2,100,0,6,6,4,1,0,1,2,2,0,0,31.5
Solomon Hill,MEM,@CHI,2019-12-04,L,29,2,1,8,12.5,0,4,0.0,0,0,-,0,2,2,5,3,0,1,4,-2,0,0,17.5
Yuta Watanabe,MEM,@CHI,2019-12-04,L,4,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-9,0,0,0.0
De'Anthony Melton,MEM,@CHI,2019-12-04,L,30,8,3,8,37.5,0,1,0.0,2,2,100,1,4,5,7,3,0,4,4,15,0,0,28.75
Ryan Arcidiacono,CHI,vs.MEM,2019-12-04,W,15,3,1,4,25.0,1,3,33.3,0,0,-,1,3,4,1,0,1,1,0,7,0,0,11.5
Dillon Brooks,MEM,@CHI,2019-12-04,L,24,5,2,11,18.2,0,4,0.0,1,1,100,1,2,3,1,2,1,0,5,-1,0,0,16.25
Grayson Allen,MEM,@CHI,2019-12-04,L,25,12,5,7,71.4,2,3,66.7,0,0,-,0,7,7,1,1,0,1,3,-6,0,0,24.75
J.J. Barea,DAL,@NOP,2019-12-03,W,11,8,3,7,42.9,2,3,66.7,0,0,-,0,2,2,6,0,0,0,0,2,0,0,20.5
JJ Redick,NOP,vs.DAL,2019-12-03,L,30,12,5,15,33.3,2,8,25.0,0,0,-,0,6,6,4,0,0,1,2,-13,0,0,26.0
Tim Hardaway Jr.,DAL,@NOP,2019-12-03,W,25,12,5,11,45.5,2,7,28.6,0,0,-,0,3,3,2,1,1,1,0,-3,0,0,23.25
Kristaps Porzingis,DAL,@NOP,2019-12-03,W,18,7,2,11,18.2,1,3,33.3,2,2,100,2,4,6,1,0,5,1,4,-13,0,0,26.0
E'Twaun Moore,NOP,vs.DAL,2019-12-03,L,8,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,-13,0,0,3.5
Dorian Finney-Smith,DAL,@NOP,2019-12-03,W,37,7,3,8,37.5,0,3,0.0,1,1,100,0,3,3,1,1,0,2,3,22,0,0,13.25
Jalen Brunson,DAL,@NOP,2019-12-03,W,5,4,1,2,50.0,0,0,-,2,2,100,0,0,0,1,0,0,0,0,1,0,0,5.5
Luka Doncic,DAL,@NOP,2019-12-03,W,28,33,9,18,50.0,5,12,41.7,10,13,76.9,2,16,18,5,0,0,4,0,16,1,0,65.0
Nickeil Alexander-Walker,NOP,vs.DAL,2019-12-03,L,12,7,3,9,33.3,1,4,25.0,0,0,-,1,2,3,0,0,0,0,0,-12,0,0,11.25
Jrue Holiday,NOP,vs.DAL,2019-12-03,L,37,18,8,18,44.4,0,3,0.0,2,6,33.3,3,1,4,4,0,2,2,3,-22,0,0,32.0
Nicolo Melli,NOP,vs.DAL,2019-12-03,L,22,7,3,7,42.9,1,4,25.0,0,0,-,2,6,8,2,1,1,2,3,-9,0,0,23.5
Jaxson Hayes,NOP,vs.DAL,2019-12-03,L,26,9,4,5,80.0,0,0,-,1,2,50.0,2,6,8,0,0,0,1,4,-11,0,0,18.5
Frank Jackson,NOP,vs.DAL,2019-12-03,L,12,0,0,3,0.0,0,2,0.0,0,0,-,0,1,1,1,0,0,2,0,2,0,0,1.75
Dwight Powell,DAL,@NOP,2019-12-03,W,26,6,3,3,100,0,0,-,0,1,0.0,0,4,4,0,1,0,0,1,15,0,0,13.0
Delon Wright,DAL,@NOP,2019-12-03,W,24,5,1,6,16.7,1,3,33.3,2,2,100,1,3,4,5,1,1,1,1,13,0,0,21.5
Seth Curry,DAL,@NOP,2019-12-03,W,27,19,6,11,54.5,5,7,71.4,2,2,100,0,4,4,1,0,0,1,4,32,0,0,27.5
Brandon Ingram,NOP,vs.DAL,2019-12-03,L,37,24,8,16,50.0,1,3,33.3,7,7,100,0,5,5,6,3,1,1,2,-10,0,0,47.25
Lonzo Ball,NOP,vs.DAL,2019-12-03,L,30,6,2,12,16.7,2,10,20.0,0,0,-,1,5,6,3,0,0,1,1,-8,0,0,18.5
Josh Hart,NOP,vs.DAL,2019-12-03,L,27,11,4,8,50.0,3,6,50.0,0,0,-,0,6,6,0,0,0,1,4,-9,0,0,19.5
Maxi Kleber,DAL,@NOP,2019-12-03,W,21,12,3,5,60.0,2,3,66.7,4,4,100,4,0,4,0,0,1,0,0,19,0,0,20.0
Justin Jackson,DAL,@NOP,2019-12-03,W,17,5,2,6,33.3,1,4,25.0,0,0,-,1,2,3,0,1,0,0,1,1,0,0,11.25
